phase,step,t_bool_ms,faces,affected,removed_mm3
面粗,1,4.3,2412,497,18.0
面粗,2,4.1,2722,645,70.7
面粗,3,4.3,2870,868,85.0
面粗,4,4.8,3096,628,102.3
面粗,5,4.6,3374,505,112.9
面粗,6,4.2,3412,255,117.5
面粗,7,4.0,3416,276,127.4
面粗,8,4.9,3700,605,154.1
面粗,9,5.1,4054,677,181.0
面粗,10,4.5,4074,224,184.8
面粗,11,4.5,4080,217,185.6
面粗,12,4.7,4152,283,186.0
面粗,13,5.2,4330,431,191.1
面粗,14,5.2,4514,385,193.6
面粗,15,4.5,4514,171,193.6
面粗,16,5.2,4554,202,193.6
面粗,17,5.5,4596,296,200.1
面粗,18,6.2,4910,712,219.0
面粗,19,6.0,5184,587,238.9
面粗,20,5.5,5186,176,239.7
面粗,21,6.3,5186,110,239.7
面粗,22,5.0,5186,82,239.7
面粗,23,6.3,5338,325,240.8
面粗,24,5.6,5442,249,241.0
面粗,25,5.3,5442,50,241.0
面粗,26,5.7,5442,65,241.0
面粗,27,6.1,5516,257,243.2
面粗,28,6.7,5796,663,256.8
面粗,29,6.9,6108,579,267.9
面粗,30,6.2,6132,209,268.0
面粗,31,6.0,6132,52,268.0
面粗,32,5.9,6132,22,268.0
面粗,33,6.3,6172,152,268.0
面粗,34,6.1,6172,78,268.0
面粗,35,6.6,6172,25,268.0
面粗,36,6.0,6172,153,268.0
面粗,37,7.4,6448,529,275.1
面粗,38,7.4,6676,435,277.8
面粗,39,6.7,6674,116,277.8
面粗,40,6.6,6674,92,277.8
面粗,41,6.9,6674,68,277.8
面精,42,9.5,7336,1393,284.8
面精,43,11.0,8528,2404,302.5
面精,44,13.2,9480,3057,313.2
面精,45,16.5,10408,2314,324.8
面精,46,11.1,11158,1711,337.5
面精,47,8.6,11106,299,345.7
面精,48,8.8,11098,286,354.0
面精,49,12.4,12432,2768,362.8
面精,50,12.8,13742,3082,374.3
面精,51,10.9,13690,247,381.6
面精,52,10.4,13626,232,387.5
面精,53,10.5,13630,244,393.5
面精,54,13.0,14376,1676,400.9
面精,55,12.3,14914,1462,409.2
面精,56,12.7,14936,226,412.2
面精,57,11.1,14932,280,417.4
面精,58,11.6,14918,249,425.4
面精,59,16.3,16784,3893,433.1
面精,60,16.4,17776,3079,444.7
面精,61,12.7,17742,232,450.1
面精,62,13.0,17760,207,451.4
面精,63,13.7,17830,292,452.0
面精,64,14.6,18160,1100,458.0
面精,65,14.3,18344,740,462.2
面精,66,12.9,18344,204,462.2
面精,67,14.8,18420,245,463.2
面精,68,13.8,18408,327,470.4
面精,69,17.8,19768,3299,477.8
面精,70,19.7,21034,2770,488.3
面精,71,15.8,21020,206,491.2
面精,72,14.8,21040,203,491.2
面精,73,15.5,21040,143,491.2
面精,74,16.5,21222,439,493.5
面精,75,15.4,21382,347,494.8
面精,76,15.1,21380,167,494.8
面精,77,16.1,21446,301,498.3
面精,78,21.2,22366,2183,505.9
面精,79,19.6,22814,1239,513.9
面精,80,16.1,22824,322,514.3
面精,81,17.6,22998,403,514.9
面精,82,16.5,23174,321,515.5
台粗,83,17.2,23780,703,588.0
台粗,84,21.5,24930,1951,690.5
台粗,85,23.5,26114,2887,747.3
台粗,86,21.5,26876,1537,817.6
台粗,87,21.5,27496,1337,856.0
台粗,88,23.6,28418,1829,919.4
台粗,89,22.8,29148,1652,949.0
台粗,90,23.3,30232,1953,993.9
台粗,91,27.1,31180,2164,1009.2
台粗,92,27.4,32482,2067,1013.7
台精,93,31.8,34808,4713,1018.7
台精,94,36.3,38626,9698,1028.1
台精,95,41.9,42704,12579,1034.8
台精,96,47.2,45628,6969,1042.5
台精,97,44.2,48976,7261,1048.0
台精,98,47.0,52942,9623,1055.5
台精,99,56.2,56862,9498,1060.7
台精,100,53.6,60560,10205,1068.2
台精,101,68.5,65230,12782,1073.1
台精,102,61.9,69426,9781,1075.5
柱钻,103,49.8,69398,0,1075.5
柱钻,104,47.7,69398,21,1075.5
柱钻,105,48.9,70120,782,1081.8
柱钻,106,58.1,71810,2520,1109.3
柱钻,107,74.9,75284,5979,1138.8
柱钻,108,94.7,81358,11946,1152.3
柱钻,109,97.2,87834,16931,1152.6
柱钻,110,92.5,93976,14967,1152.6
