step,phase,roundtrip_ms,roundtrip_faces,roundtrip_removed_mm3,resident_ms,resident_faces,resident_removed_mm3,volume_delta_mm3,speedup
1,面粗,39.58540002349764,40086,0.0,10.210599983111024,40086,7.275957614183426e-12,7.275957614183426e-12,3.876892649694865
2,面粗,37.70970000186935,40312,10.483010690404626,10.214400012046099,40312,10.483011688651459,9.982468327507377e-07,3.6918174300396847
3,面粗,36.857199971564114,40312,10.483010690404626,11.225700029172003,40312,10.483011688651459,9.982468327507377e-07,3.283287445396193
4,面粗,35.97530000843108,40312,10.483010690404626,10.394399985671043,40312,10.483011688651459,9.982468327507377e-07,3.461027097093049
5,面粗,38.25209999922663,40368,10.99357864981721,9.896100033074617,40348,10.993577543435094,1.1063821148127317e-06,3.8653711938421154
6,面粗,37.160700012464076,40724,19.680468046710303,11.878800054546446,40572,19.680468140970333,9.426003089174628e-08,3.1283210292138333
7,面粗,38.7332999962382,41192,27.32768480687082,11.746399977710098,40824,27.32768141222914,3.3946416806429625e-06,3.2974613557973758
8,面粗,37.52010001335293,41204,27.366471500630723,9.928999992553145,40828,27.366467147119693,4.353511030785739e-06,3.7788397664914295
9,面粗,37.55170002114028,41274,28.311259239351784,10.127899993676692,40904,28.311252336075995,6.903275789227337e-06,3.7077479087061986
10,面粗,38.82269997848198,41446,31.912725067573774,9.573599963914603,41046,31.912717343642726,7.723931048531085e-06,4.055183016296364
11,面粗,38.085099949967116,41458,31.912950642901706,10.099200007971376,41046,31.91294318564178,7.4572599260136485e-06,3.7711006733113765
12,面粗,36.212600010912865,41496,31.915177130787924,9.6557000069879,41076,31.915170848573325,6.282214599195868e-06,3.750385780907189
13,面粗,37.09359996719286,41960,38.52682076633937,11.026900028809905,41296,38.52681723628484,3.53005452780053e-06,3.3639191314221284
14,面粗,38.673400005791336,42516,44.780916619696654,11.566300003323704,41626,44.780912437105144,4.1825915104709566e-06,3.343627607331481
15,面粗,36.16309998324141,42510,44.78091661888902,10.51200000802055,41626,44.780912437105144,4.181783879175782e-06,3.4401731312451798
16,面粗,38.522700022440404,42510,44.78091661888902,8.702800027094781,41626,44.780912437105144,4.181783879175782e-06,4.426471928862678
17,面粗,38.82339998381212,42726,48.92989437378856,9.641300013754517,41784,48.92989293739811,1.4363904483616352e-06,4.026780613446911
18,面粗,38.16499997628853,42966,53.8042184973674,9.713199979159981,41946,53.80422457041277,6.073045369703323e-06,3.9291891506581664
19,面粗,39.07130000879988,42964,53.80421849735285,9.03930002823472,41946,53.80422457041277,6.073059921618551e-06,4.322381145305351
20,面粗,37.53339999821037,42964,53.80421849735285,8.867900003679097,41946,53.80422457041277,6.073059921618551e-06,4.232501492195287
21,面粗,54.7554999939166,43502,60.12211838533403,10.687700007110834,42196,60.1221355666421,1.7181308066938072e-05,5.1232257602184
22,面粗,42.949600028805435,43996,66.04372450639494,10.79789997311309,42468,66.0437330280256,8.521630661562085e-06,3.977588247321284
23,面粗,38.88810001080856,43990,66.04372450921801,9.41870000679046,42468,66.0437330280256,8.518807590007782e-06,4.128818200258208
24,面粗,42.679900012444705,43990,66.04372450921801,9.729199984576553,42468,66.0437330280256,8.518807590007782e-06,4.386784122035115
25,面粗,40.755500027444214,44282,71.24340755563026,10.180799989029765,42676,71.24340959692927,2.041299012489617e-06,4.003172645701709
26,面粗,44.30790001060814,44558,75.95387429545372,10.27349999640137,42846,75.95386975709698,4.538356733974069e-06,4.3128339929068416
27,面粗,40.46669998206198,44556,75.95387429599214,9.056299983058125,42846,75.95386975709698,4.538895154837519e-06,4.4683480072175366
28,面粗,40.25190003449097,44556,75.95387429599214,9.701100003439933,42846,75.95386975709698,4.538895154837519e-06,4.149209885499373
29,面粗,41.97959997691214,44948,81.06781390065589,10.158099990803748,43100,81.0678101142912,3.7863646866753697e-06,4.132623228252998
30,面粗,41.59049998270348,45258,85.07715180598461,10.448399989400059,43228,85.07713875757327,1.3048411346971989e-05,3.9805616194725695
31,面粗,43.53060002904385,45254,85.07715180598461,9.707899997010827,43228,85.07713875757327,1.3048411346971989e-05,4.484038776918532
32,面粗,42.90280002169311,45254,85.07715180598461,9.650300024077296,43228,85.07713875757327,1.3048411346971989e-05,4.4457477917423835
33,面粗,44.78350002318621,45526,89.7366969282375,10.348400042857975,43352,89.73668282011204,1.4108125469647348e-05,4.3275771943213455
34,面粗,44.28630002075806,45800,94.96946254503564,10.46610000776127,43528,94.96945968102227,2.8640133677981794e-06,4.231404246846198
35,面粗,43.094799970276654,45798,94.96946254505747,9.830099996179342,43528,94.96945968102227,2.864035195671022e-06,4.383963539234217
36,面粗,43.926000013016164,45798,94.96946254505747,10.263299976941198,43528,94.96945968102227,2.864035195671022e-06,4.279909981361333
37,面粗,43.6729000066407,46182,98.21938989550836,11.862799990922213,43736,98.2193897730831,1.2242526281625032e-07,3.6815001551118267
38,面粗,44.83349999645725,46406,100.55434571258229,10.432999988552183,43846,100.55434635657002,6.439877324737608e-07,4.297277872678204
39,面粗,43.50550001254305,46404,100.55434571293881,10.559300018940121,43846,100.55434635657002,6.436312105506659e-07,4.120112122442551
40,面粗,44.05389999737963,46404,100.55434571293881,9.903799975290895,43846,100.55434635657002,6.436312105506659e-07,4.448181516921809
41,面粗,45.274099975358695,46738,106.48748725073528,11.576399963814765,44002,106.4874828323882,4.418347089085728e-06,3.910896316374296
