pass,step,faces,removed_mm3,boolean_ms
粗磨,1,774,0.16615478991479904,1.6
粗磨,2,878,14.836271267162374,1.8
粗磨,3,870,33.11215778688711,6.3
粗磨,4,868,38.68643640524169,2.1
粗磨,5,964,53.45318575059537,2.1
粗磨,6,1000,74.97724623599424,4.9
粗磨,7,1004,96.34230080642374,2.4
粗磨,8,1006,111.95861310688088,2.1
粗磨,9,996,115.6724267580903,2.0
粗磨,10,1084,134.5823038107792,2.2
粗磨,11,1100,162.04908903719115,2.7
粗磨,12,1106,189.67977822746252,2.3
粗磨,13,1102,210.4384529660092,2.5
粗磨,14,1080,215.79000772665495,2.3
粗磨,15,1148,231.4968792825257,2.2
粗磨,16,1158,255.30096528471222,2.6
粗磨,17,1194,281.11377908902796,2.4
粗磨,18,1206,304.5817758881767,2.4
粗磨,19,1200,320.70573854579925,2.3
粗磨,20,1170,324.30820665559804,2.5
粗磨,21,1230,338.8342632579552,2.5
粗磨,22,1236,361.52833512012876,2.5
粗磨,23,1258,386.29751696463063,2.7
粗磨,24,1280,408.7106598047194,2.7
粗磨,25,1260,423.82284228219214,2.7
粗磨,26,1242,427.117562736541,2.7
粗磨,27,1306,442.09591505932985,2.5
粗磨,28,1320,465.722293596913,2.6
粗磨,29,1308,489.65309496882765,2.5
粗磨,30,1306,506.8370209003715,3.3
粗磨,31,1282,510.963126030234,2.5
粗磨,32,1346,520.4908673272366,2.6
粗磨,33,1360,536.252608718125,2.5
粗磨,34,1364,552.068785173069,3.0
粗磨,35,1334,562.8045596078991,3.4
粗磨,36,1328,565.1982484275322,2.8
粗磨,37,1388,572.768807890363,2.5
粗磨,38,1386,582.4680091609498,2.7
粗磨,39,1382,585.4760333945123,2.6
粗磨,40,1414,585.5286745667418,2.3
精磨,1,1500,587.5741043456183,3.0
精磨,2,1488,600.5989554221633,2.7
精磨,3,1492,612.5374727084818,3.0
精磨,4,1448,619.9105694232003,2.8
精磨,5,1496,629.8385276510489,2.7
精磨,6,1510,638.2248280835865,3.0
精磨,7,1524,646.6111267870983,2.9
精磨,8,1554,654.9985515966291,2.8
精磨,9,1512,660.2470372907283,3.1
精磨,10,1528,671.1972357264676,2.8
精磨,11,1522,680.7064087174258,2.8
精磨,12,1502,690.2155851123498,2.8
精磨,13,1526,699.7247573661771,3.9
精磨,14,1496,705.9966058823666,3.0
精磨,15,1520,715.6815780032448,3.3
精磨,16,1524,724.0345324062328,2.8
精磨,17,1530,732.3874894557302,3.4
精磨,18,1536,740.7404456217646,3.2
精磨,19,1572,749.0934003271414,3.0
精磨,20,1522,754.1000236334985,2.7
精磨,21,1536,763.616509048401,2.9
精磨,22,1544,771.9694625264492,2.9
精磨,23,1548,780.3224223403467,2.7
精磨,24,1548,788.6753798853133,2.6
精磨,25,1570,797.0283376606167,2.7
精磨,26,1528,801.8664740461936,2.6
精磨,27,1552,812.2772489226882,2.5
精磨,28,1566,821.7864188159674,2.6
精磨,29,1580,831.2955936618891,2.7
精磨,30,1608,840.8047679446863,2.7
精磨,31,1568,846.5371917956654,2.7
精磨,32,1592,855.387381297327,2.6
精磨,33,1596,863.7736801282408,2.6
精磨,34,1606,872.1599768723609,2.8
精磨,35,1630,880.5460840220112,2.7
精磨,36,1582,884.7181171338416,2.6
精磨,37,1628,894.4626803525971,2.7
精磨,38,1592,904.9807831412345,3.0
精磨,39,1580,910.1339198419628,2.8
精磨,40,1654,910.8886718686917,2.6
