pass,step,t_bool_ms,t_render_ms,faces,affected,removed_mm3
粗磨,1,2.0,122.7,774,82,0.2
粗磨,2,2.2,162.9,878,211,14.8
粗磨,3,3.3,140.1,870,209,33.1
粗磨,4,2.2,117.8,868,142,38.7
粗磨,5,3.2,147.1,964,197,53.5
粗磨,6,2.5,138.7,1000,232,75.0
粗磨,7,2.6,135.0,1004,180,96.3
粗磨,8,2.6,107.8,1006,179,112.0
粗磨,9,2.7,112.8,996,133,115.7
粗磨,10,2.3,111.5,1084,179,134.6
粗磨,11,2.5,145.6,1100,193,162.0
粗磨,12,2.6,116.4,1106,183,189.7
粗磨,13,2.9,117.9,1102,167,210.4
粗磨,14,2.9,139.1,1080,131,215.8
粗磨,15,2.6,121.5,1148,173,231.5
粗磨,16,2.6,125.1,1158,181,255.3
粗磨,17,2.6,119.6,1194,197,281.1
粗磨,18,2.7,143.8,1206,201,304.6
粗磨,19,2.7,128.7,1200,185,320.7
粗磨,20,2.5,114.1,1170,119,324.3
粗磨,21,2.4,146.7,1230,162,338.8
粗磨,22,2.6,122.4,1236,174,361.5
粗磨,23,2.7,134.9,1258,177,386.3
粗磨,24,3.0,163.1,1280,198,408.7
粗磨,25,2.8,131.8,1260,165,423.8
粗磨,26,3.1,132.8,1242,112,427.1
粗磨,27,2.8,197.1,1306,177,442.1
粗磨,28,3.1,177.5,1320,206,465.7
粗磨,29,2.9,144.1,1308,177,489.7
粗磨,30,2.8,152.1,1306,167,506.8
粗磨,31,2.9,191.1,1282,114,511.0
粗磨,32,3.0,136.0,1346,156,520.5
粗磨,33,3.0,142.4,1360,169,536.3
粗磨,34,3.0,151.3,1364,162,552.1
粗磨,35,2.8,137.6,1334,127,562.8
粗磨,36,2.7,143.0,1328,106,565.2
粗磨,37,3.0,183.5,1388,166,572.8
粗磨,38,3.5,142.1,1386,156,582.5
粗磨,39,3.8,142.3,1382,132,585.5
粗磨,40,3.3,176.5,1414,66,585.5
精磨,1,2.9,153.5,1500,166,587.6
精磨,2,2.9,143.5,1488,186,600.6
精磨,3,3.4,174.4,1492,269,612.5
精磨,4,3.1,141.3,1448,163,619.9
精磨,5,2.9,143.4,1496,153,629.8
精磨,6,2.9,189.0,1510,130,638.2
精磨,7,3.0,148.2,1524,108,646.6
精磨,8,3.1,139.0,1554,167,655.0
精磨,9,3.5,178.9,1512,127,660.2
精磨,10,3.6,151.1,1528,142,671.2
精磨,11,3.0,141.9,1522,104,680.7
精磨,12,3.2,180.1,1502,92,690.2
精磨,13,3.3,158.2,1526,119,699.7
精磨,14,3.3,162.7,1496,130,706.0
精磨,15,3.5,176.2,1520,132,715.7
精磨,16,3.5,170.1,1524,121,724.0
精磨,17,3.4,147.9,1530,101,732.4
精磨,18,3.0,159.8,1536,100,740.7
精磨,19,3.3,137.9,1572,146,749.1
精磨,20,3.0,181.7,1522,102,754.1
精磨,21,3.2,146.8,1536,118,763.6
精磨,22,3.0,145.5,1544,117,772.0
精磨,23,3.4,177.4,1548,108,780.3
精磨,24,3.0,146.0,1548,103,788.7
精磨,25,3.2,152.9,1570,144,797.0
精磨,26,2.9,171.0,1528,96,801.9
精磨,27,3.0,144.8,1552,126,812.3
精磨,28,3.2,142.1,1566,122,821.8
精磨,29,3.2,198.0,1580,117,831.3
精磨,30,3.1,156.8,1608,154,840.8
精磨,31,3.1,186.2,1568,112,846.5
精磨,32,3.2,165.2,1592,140,855.4
精磨,33,3.1,182.6,1596,136,863.8
精磨,34,3.6,185.2,1606,114,872.2
精磨,35,3.1,151.7,1630,181,880.5
精磨,36,3.5,153.4,1582,120,884.7
精磨,37,3.8,187.8,1628,167,894.5
精磨,38,3.5,148.3,1592,155,905.0
精磨,39,3.2,166.9,1580,115,910.1
精磨,40,3.1,188.4,1654,119,910.9
